АТС;Линейно-технический цех ОАО Ростелеком;;60 лет ВЛКСМ, 3;;;83467732477;;;;;;;;;;;;;;;;;;;;;;;
Балконы | лоджии - остекление | отделка;Мебельер (мебель, окна, интерьер);;Южная, 11;;;89044650863;;;;;;;;;;;;;;;;;;;;100;;https://dl.dropboxusercontent.com/s/665ejhswg3pyls0/%D0%9F%D0%9F%20-%20mid.jpg?dl=0;
Бани | сауны;Сауна с бассейном гостиницы Виктория;;пер. Школьный, 13;;;83467733503;;;;;;;;;;;;;;;;;;;;;;;
Бани | сауны;Сауна МАУ ДОД СДЮШОР по дзюдо;;Сибирская, 51;;;83467732837;;;;;;;;;;;;;;;;;;;;;;;
Бани | сауны;Сауна У Олега;;Южная, 14 - А;;;83467736699;;;;;;;;;;;;;;;;;;;;;;;
Банкетные залы;Ресторан Александровский;;Северная, 56;89044884138;;89527234458;;;;;;;;;;;;;;;;;;;;;;;
Банкетные залы;Ларец, Кафе;;Ворошилова 2А;8(34677)41-251;;89226566236;;89324250369;;;;;;;;;;;;;;;;;;;;;;;
Банки;Ханты-Мансийский Банк (Консультационный пункт);;Титова, 15 - А;8(34677)34-106;;88001001700;;;;;;;;;;;;;;;;;;;;;;;
Банки;Запсибкомбанк;;Ленина, 14;;;83467741530;;;;;;;;;;;;;;;;;;;;;;;
Банки;Сбербанк;;Волгоградская, 12;;;83467732744;;;;;;;;;;;;;;;;;;;;;;;
Бензотехника | бензоинструмент;Сапфир, Магазин хозтоваров;;Толстого, 24 - 2;Отсутствует;;;;;;;;;;;;;;;;;;;;;;;
Бензотехника | бензоинструмент;Орбита, Филиал интернет магазина Dacha.Market;;Первомайская, 20;;;83467732234;;;;;;;;;;;;;;;;;;;;;;;
Бензотехника | бензоинструмент;МиниВиК, Магазин стройматериалов;;Кондинская, 12;;;89088963616;;;;;;;;;;;;;;;;;;;;100;;https://dl.dropboxusercontent.com/s/665ejhswg3pyls0/%D0%9F%D0%9F%20-%20mid.jpg?dl=0;
Бензотехника | бензоинструмент;Магазин СТРОЙmax;;Титова, 26;;;83467733414;;;;;;;;;;;;;;;;;;;;;;;
Библиотеки;Центральная библиотека;;Волгоградская, 11;;;83467735187;;;;;;;;;;;;;;;;;;;;;;;
Бижутерия | галантерея;Дамское счастье, Салон - магазин, Ателье;;Ленина, 11;Отсутствует;;;;;;;;;;;;;;;;;;;;;;;
Бижутерия | галантерея;Гармония, Ателье - магазин;;Ленина, 11;89505079826;;89044651106;;;;;;;;;;;;;;;;;;;;;;;
Бижутерия | галантерея;Дом быта, ремонт одежды;;Гагарина, 13;8(34677)32-704;;89224076755;;;;;;;;;;;;;;;;;;;;;;;
Бижутерия | галантерея;Алсу;Магазин женской одежды;Толстого, 36;Отсутствует;;;;;;;;;;;;;;;;;;;;;;;
Билеты междугородние | автобус;Транспортное агенство;;Титова, 14;8(34677)34-130;;8(34677)32-758;;;;;;;;;;;;;;;;;;;;;;;
Билеты междугородние | автобус;Билетная касса, (Тавда - Тюмень) автобус;;Железнодорожная (Здание вокзала);;;89125154067;;;;;;;;;;;;;;;;;;;;;;;
Бильярдные;МАУ ДОД СДЮШОР по дзюдо (Бильярд);;Сибирская, 51;8(34677)32-837;;8(34677)33-980;;;;;;;;;;;;;;;;;;;;;;;
Бильярдные;Золотой шар, Бильярдный клуб;;Солнечная, 72;;;83467736600;;;;;;;;;;;;;;;;;;;;;;;
Благоустройство улиц;ООО Акцент;;Сибирская, 119;;;83467741372;;;;;;;;;;;;;;;;;;;;;;;
Больницы | поликлиники;Бюро судебно медицинской экспертизы;;Кондинская, 3;;;83467734740;;;;;;;;;;;;;;;;;;;;;;;
Больницы | поликлиники;Кондинская районная больница;;Кондинская, 3 - А;Отсутствует;;;;;;;;;;;;;;;;;;;;;;;
Больницы | поликлиники;Родильное отделение;;Кондинская, 1;8(34677)33-171;;8(34677)33-189;;;;;;;;;;;;;;;;;;;;;;;
Бухгалтерский учет - автоматизация;ООО Инком сервис;;Комарова, 3;;;83467733115;;;;;;;;;;;;;;;;;;;;;;;
